Parameter,Prior,,,Posterior,,,,
,,,,AR(1),VAR(1),MSV,REE-MS,REE
,,,,,,,,
,Dist,Mean,St. Dev,Mode,Mode,Mode,Mode,
$\bar{y}$,Normal,0,0.25,-0.21,0.09,-0.1,-0.17,0.24
$\bar{\pi}$,Gamma,0.62,0.25,0.53,0.9,0.38,0.39,0.17
$\bar{r1}$,Gamma,1,0.25,1.01,1.17,0.75,0.68,1.11
$\kappa$,Beta,0.3,0.15,0.032,0.017,0.01,0.004,0.006
$\tau$,Gamma,2,0.5,2.54,3.01,2.66,4.73,4.57
$\phi_{\pi}$,Gamma,1.5,0.25,1.25,1.3,1.51,1.56,1.42
$\phi_y$,Gamma,0.5,0.25,0.59,0.51,0.33,0.27,0.27
$\rho_y$,Beta,0.5,0.2,0.33,0.48,0.5,0.92,0.93
$\rho_{\pi}$,Beta,0.5,0.2,0.04,0.07,0.5,0.92,0.89
$\rho_r$,Beta,0.5,0.2,0.96,0.96,0.87,0.8,0.8
$\eta_y$,Inv. Gamma,0.1,2,0.77,0.73,0.13,0.1,0.1
$\eta_{\pi}$,Inv. Gamma,0.1,2,0.26,0.28,0.03,0.03,0.04
$\eta_{r1}$,Inv. Gamma,0.1,2,0.32,0.33,0.31,0.32,0.3
$\bar{r2}$,Normal,0,0.25,0.04,0.04,0.03,0.03,-
$\eta_{r2}$,Inv. Gamma,0.01,0.2,0.02,0.02,0.01,0.01,-
$1-p_{11}$,Beta,0.1,0.05,0.02,0.02,0.02,0.02,-
$1-p_{22}$,Beta,0.3,0.1,0.1,0.11,0.13,0.17,-
$gain$,Gamma,0.035,0.015,0.04,0.008,0.004,-,-
,,,,,,,,
Laplace,,,,-296.4926933,-305.3738924,-294.2394359,-317.02,-368.49
