Parameter,Prior,,,Posterior
,Dist,Mean,St. Dev,Mode
$\bar{y}$,Normal,0,0.25,-0.19
$\bar{\pi}$,Gamma,0.62,0.25,0.61
$\bar{r1}$,Gamma,1,0.25,1
$\kappa$,Beta,0.3,0.15,0.02
$\tau$,Gamma,2,0.5,2.51
$\phi_{\pi}$,Gamma,1.5,0.25,1.55
$\phi_y$,Gamma,0.5,0.25,0.32
$\rho_y$,Beta,0.5,0.2,0.5
$rho_{\pi}$,Beta,0.5,0.2,0.5
$\rho_r$,Beta,0.5,0.2,0.87
$\eta_y$,Inv. Gamma,0.1,2,0.22
$\eta_{\pi}$,Inv. Gamma,0.1,2,0.14
$\eta_{r1}$,Inv. Gamma,0.1,2,0.32
$\bar{r2}$,Normal,0,0.25,0.03
$\eta_{r2}$,Inv. Gamma,0.01,0.2,0.01
$1-p_{11}$,Beta,0.1,0.05,0.02
$1-p_{22}$,Beta,0.3,0.1,0.13
gain,Gamma,0.035,0.015,0
,,,,
,,,,321.9463099
