,Prior,,,,
Parameters,,Dist,Mean,St. Dev,
$\phi$,,Normal,4,1.5,4.87
$\sigma_c$,,Normal,1.5,0.375,1.36
$\lambda$,,Beta,0.7,0.1,0.75
$\xi_w$,,Beta,0.5,0.1,0.93
$\sigma_l$,,Normal,2,0.75,1.98
$\xi_p$,,Beta,0.5,0.1,0.8
$\iota_w$,,Beta,0.5,0.15,0.84
$\iota_p$,,Beta,0.5,0.15,0.07
$\psi$,,Beta,0.5,0.15,0.83
$\phi_p$,,Normal,1.25,0.125,1.59
$r_{\pi}$,,Normal,1.25,0.25,1.5
$\rho$,,Beta,0.75,0.1,0.85
$r_y$,,Normal,0.125,0.05,0.05
$r_{dy}$,,Normal,0.125,0.05,0.17
$\bar{\pi}$,,Gamma,0.625,0.1,0.75
$\bar{\beta}$,,Gamma,0.25,0.1,0.21
$\bar{l}$,,Normal,0,2,-1.2
$\bar{\gamma}$,,Normal,0.4,0.1,0.4
$\alpha$,,Normal,0.3,0.05,0.53
$\rho_a$,,Beta,0.5,0.2,0.17
$\rho_b$,,Beta,0.5,0.2,0.96
$\rho_g$,,Beta,0.5,0.2,0.36
$\rho_i$,,Beta,0.5,0.2,0.98
$\rho_r$,,Beta,0.5,0.2,0.83
$\rho_p$,,Beta,0.5,0.2,0.08
$\rho_w$,,Beta,0.5,0.2,0.81
$\mu_p$,,Beta,0.5,0.2,0.06
$\mu_w$,,Beta,0.5,0.2,0.44
$\rho_{ga}$,,Beta,0.5,0.2,0.21
$\eta_a$,,Inv. Gamma,0.1,2,0.49
$\eta_b$,,Inv. Gamma,0.1,2,0.36
$\eta_g$,,Inv. Gamma,0.1,2,0.21
$\eta_i$,,Inv. Gamma,0.1,2,0.05
"$\eta_{r,N}$",,Inv. Gamma,0.1,2,0.37
"$\eta_{r,ZLB}$",,Gamma,0.03,0.01,0.11
$\eta_p$,,Inv. Gamma,0.1,2,0.49
$\eta_w$,,Inv. Gamma,0.1,2,0.02
$gain$,,Gamma,0.035,0.015,0.13
$1-p_{11}$,,Beta,0.1,0.05,0.03
$1-p_{22}$,,Beta,0.1,0.05,
$\bar{r_{zlb}}$,,Normal,0.05,0.25,
,,,,,
Laplace,,,,,-1213.139396
