,Prior,,,AR(1),MSV,,RISE,
Parameters,,Dist,Mean,Mode,Mode,,,
$\phi$,,Normal,4,2.83,6.48,6.72,4.91,
$\sigma_c$,,Normal,1.5,0.34,2.06,1.93,1.12,
$\lambda$,,Beta,0.7,0.87,0.68,0.7,0.55,
$\xi_w$,,Beta,0.5,0.62,0.57,0.8,0.84,
$\sigma_l$,,Normal,2,2.11,1.78,1.08,1.65,
$\xi_p$,,Beta,0.5,0.75,0.7,0.83,0.92,
$\iota_w$,,Beta,0.5,0.48,0.58,0.5,0.46,
$\iota_p$,,Beta,0.5,0.26,0.43,0.13,0.19,
$\psi$,,Beta,0.5,0.74,0.69,0.88,0.8,
$\phi_p$,,Normal,1.25,1.32,1.21,1.51,1.4,
$r_{\pi}$,,Normal,1.25,1.42,1.21,1.63,1.48,
$\rho$,,Beta,0.75,0.92,0.87,0.87,0.86,
$r_y$,,Normal,0.125,0.15,0.09,0.07,0.24,
$r_{dy}$,,Normal,0.125,0.09,0.03,0.07,0.09,
$\bar{\pi}$,,Gamma,0.625,0.72,0.43,0.67,0.61,
$\bar{\beta}$,,Gamma,0.25,0.21,0.18,0.21,0.25,
$\bar{l}$,,Normal,0,3.46,-5.32,1.24,3.82,
$\bar{\gamma}$,,Normal,0.4,0.39,0.34,0.34,0.47,
$\alpha$,,Normal,0.3,0.12,0.14,0.17,0.15,
$\rho_a$,,Beta,0.5,0.99,1,0.99,0.98,
$\rho_b$,,Beta,0.5,0.54,0.1,0.34,0.96,
$\rho_g$,,Beta,0.5,0.99,0.98,0.95,0.98,
$\rho_i$,,Beta,0.5,0.35,0.89,0.85,0.73,
$\rho_r$,,Beta,0.5,0.67,0.65,0.46,0.48,
$\rho_p$,,Beta,0.5,0.03,0.33,0.55,0.34,
$\rho_w$,,Beta,0.5,0.07,0.11,0.09,0.09,
$\mu_p$,,Beta,0.5,0.5,,,,
$\mu_w$,,Beta,0.5,0.5,,,,
$\rho_{ga}$,,Beta,0.5,0.37,0.5,0.45,0.4,
$\eta_a$,,Inv. Gamma,0.1,0.4,0.42,0.39,0.05,
$\eta_b$,,Inv. Gamma,0.1,0.74,0.19,0.17,0.37,
$\eta_g$,,Inv. Gamma,0.1,0.38,0.38,0.4,0.3,
$\eta_i$,,Inv. Gamma,0.1,1.11,0.29,0.29,0.09,
"$\eta_{r,N}$",,Inv. Gamma,0.1,0.09,0.09,0.08,0.09,
"$\eta_{r,ZLB}$",,Gamma,0.03,0.01,0.01,,,
$\eta_p$,,Inv. Gamma,0.1,0.19,0.12,0.08,0.11,
$\eta_w$,,Inv. Gamma,0.1,0.85,0.42,0.43,0.42,
$gain$,,Gamma,0.035,0.01,0.007,,,
$1-p_{11}$,,Beta,0.1,0.03,0.03,,0.01,
$1-p_{22}$,,Beta,0.1,0.13,0.14,,0.28,
$\bar{r_{zlb}}$,,Normal,0.05,0.04,0.03,,,
,,,,,,,,
Laplace,,,,-513.8895793,-549.6622493,-583.9222527,-552.4753887,
